vigencia,teto
1994-03,582.86
1995-05,832.66
1996-05,957.56
1997-06,1031.87
1998-06,1081.50
1998-12,1200.00
1999-06,1255.32
2000-06,1328.25
2001-06,1430.00
2002-06,1561.56
2003-06,1869.34
2004-01,2400.00
2004-05,2508.72
2005-05,2668.15
2006-04,2801.56
2007-04,2894.28
2008-03,3038.99
2009-02,3218.90
2010-01,3467.40
2011-01,3691.74
2012-01,3916.20
2013-01,4159.00
2014-01,4390.24
2015-01,4663.75
2016-01,5189.82
2017-01,5531.31
2018-01,5645.80
2019-01,5839.45
2020-01,6101.06
2021-01,6433.57
2022-01,7087.22
2023-01,7507.49
2024-01,7786.02
2025-01,8157.41
2026-01,8475.55
